Course Title,Category
Data Structures and Algorithms,Technical
Leadership and Team Management,Business
Three D Animation with Blender,Creative
Psychology and Human Behavior,Humanities
Web Development with React,Technical
Entrepreneurship and Business Planning,Business
Game Design Principles,Creative
Political Science Fundamentals,Humanities
Database Management Systems,Technical
Negotiation Skills for Professionals,Business
Graphic Design with Adobe Photoshop,Creative
Art History and Appreciation,Humanities
Machine Learning with TensorFlow,Technical
Negotiation Skills for Professionals,Business
Three D Animation with Blender,Creative
World History and Civilization,Humanities
Computer Vision with OpenCV,Technical
Investment and Portfolio Management,Business
Interior Design Essentials,Creative
Psychology and Human Behavior,Humanities
Web Development with React,Technical
Financial Accounting Basics,Business
Video Editing with Premiere Pro,Creative
Literature Analysis and Interpretation,Humanities
Data Structures and Algorithms,Technical
Investment and Portfolio Management,Business
Music Production with Ableton,Creative
Linguistics and Language Structure,Humanities
Cloud Computing with AWS,Technical
Digital Marketing Strategies,Business
Interior Design Essentials,Creative
Ethics and Moral Philosophy,Humanities
Cybersecurity Fundamentals,Technical
Negotiation Skills for Professionals,Business
Video Editing with Premiere Pro,Creative
Sociology: Understanding Society,Humanities
Database Management Systems,Technical
Leadership and Team Management,Business
Interior Design Essentials,Creative
Literature Analysis and Interpretation,Humanities
Embedded Systems with Arduino,Technical
Investment and Portfolio Management,Business
Interior Design Essentials,Creative
Literature Analysis and Interpretation,Humanities
Web Development with React,Technical
Financial Accounting Basics,Business
Creative Writing for Storytelling,Creative
Linguistics and Language Structure,Humanities
Database Management Systems,Technical
Entrepreneurship and Business Planning,Business
Game Design Principles,Creative
Sociology: Understanding Society,Humanities
Web Development with React,Technical
Digital Marketing Strategies,Business
Graphic Design with Adobe Photoshop,Creative
Political Science Fundamentals,Humanities
Embedded Systems with Arduino,Technical
Entrepreneurship and Business Planning,Business
User Experience (UX) Design Fundamentals,Creative
Literature Analysis and Interpretation,Humanities
Machine Learning with TensorFlow,Technical
Human Resource Management,Business
Photography for Beginners,Creative
Introduction to Philosophy,Humanities
Mobile App Development with Flutter,Technical
Leadership and Team Management,Business
Graphic Design with Adobe Photoshop,Creative
Psychology and Human Behavior,Humanities
Web Development with React,Technical
Market Research and Data Analytics,Business
User Experience (UX) Design Fundamentals,Creative
Art History and Appreciation,Humanities
Database Management Systems,Technical
Digital Marketing Strategies,Business
Photography for Beginners,Creative
World History and Civilization,Humanities
Cybersecurity Fundamentals,Technical
Investment and Portfolio Management,Business
User Experience (UX) Design Fundamentals,Creative
World History and Civilization,Humanities
Cloud Computing with AWS,Technical
Project Management Essentials,Business
Illustration and Digital Art with Procreate,Creative
World History and Civilization,Humanities
Web Development with React,Technical
Digital Marketing Strategies,Business
Music Production with Ableton,Creative
Ethics and Moral Philosophy,Humanities
Introduction to Python Programming,Technical
Human Resource Management,Business
Game Design Principles,Creative
Art History and Appreciation,Humanities
Cloud Computing with AWS,Technical
Negotiation Skills for Professionals,Business
Creative Writing for Storytelling,Creative
Linguistics and Language Structure,Humanities
Embedded Systems with Arduino,Technical
Entrepreneurship and Business Planning,Business
Interior Design Essentials,Creative
Introduction to Philosophy,Humanities
Embedded Systems with Arduino,Technical
Leadership and Team Management,Business
Interior Design Essentials,Creative
Ethics and Moral Philosophy,Humanities
Mobile App Development with Flutter,Technical
Project Management Essentials,Business
Three D Animation with Blender,Creative
Art History and Appreciation,Humanities
Embedded Systems with Arduino,Technical
Human Resource Management,Business
Creative Writing for Storytelling,Creative
Political Science Fundamentals,Humanities
Embedded Systems with Arduino,Technical
Leadership and Team Management,Business
Creative Writing for Storytelling,Creative
Linguistics and Language Structure,Humanities
Database Management Systems,Technical
Human Resource Management,Business
Graphic Design with Adobe Photoshop,Creative
Art History and Appreciation,Humanities
Introduction to Python Programming,Technical
Business Law and Ethics,Business
Game Design Principles,Creative
Political Science Fundamentals,Humanities
Web Development with React,Technical
Financial Accounting Basics,Business
Music Production with Ableton,Creative
Sociology: Understanding Society,Humanities
Database Management Systems,Technical
Financial Accounting Basics,Business
Creative Writing for Storytelling,Creative
Literature Analysis and Interpretation,Humanities
Machine Learning with TensorFlow,Technical
Financial Accounting Basics,Business
Interior Design Essentials,Creative
Ethics and Moral Philosophy,Humanities
Mobile App Development with Flutter,Technical
Leadership and Team Management,Business
Creative Writing for Storytelling,Creative
Literature Analysis and Interpretation,Humanities
Computer Vision with OpenCV,Technical
Investment and Portfolio Management,Business
User Experience (UX) Design Fundamentals,Creative
Introduction to Philosophy,Humanities
